0401131;Östliche Vorstadt (Stadtteil);2014;577;592;-15;319;365;-46;239;284;-45;142;139;3;69;65;4;75;48;27;111;112;-1;3;2;1
04011311;Steintor (Ortsteil);2014;134;123;11;86;97;-11;64;76;-12;47;43;4;10;2;8;20;5;15;17;19;-2;1;0;1
04011312;Fesenfeld (Ortsteil);2014;141;128;13;86;85;1;66;65;1;47;31;16;7;10;-3;21;18;3;26;14;12;1;1;0
04011313;Peterswerder (Ortsteil);2014;121;145;-24;70;105;-35;49;83;-34;26;39;-13;9;7;2;23;18;5;19;14;5;0;1;-1
04011314;Hulsberg (Ortsteil);2014;181;196;-15;77;78;-1;60;60;0;22;26;-4;43;46;-3;11;7;4;49;65;-16;1;0;1
0401132;Schwachhausen (Stadtteil);2014;582;611;-29;373;434;-61;276;344;-68;189;158;31;22;23;-1;63;64;-1;111;88;23;13;2;11
04011321;Neu-Schwachhausen (Ortsteil);2014;77;111;-34;48;77;-29;38;60;-22;32;28;4;0;4;-4;16;12;4;13;18;-5;0;0;0
04011322;Bürgerpark (Ortsteil);2014;57;70;-13;31;48;-17;27;40;-13;15;15;0;2;4;-2;6;7;-1;14;9;5;4;2;2
04011323;Barkhof (Ortsteil);2014;96;82;14;67;59;8;41;47;-6;31;24;7;8;2;6;2;11;-9;18;10;8;1;0;1
04011324;Riensberg (Ortsteil);2014;96;69;27;65;49;16;47;40;7;24;17;7;2;1;1;13;9;4;15;10;5;1;0;1
04011325;Radio Bremen (Ortsteil);2014;100;98;2;64;66;-2;48;55;-7;32;21;11;6;5;1;8;7;1;22;20;2;0;0;0
04011326;Schwachhausen (Ortsteil);2014;43;41;2;19;31;-12;14;25;-11;12;15;-3;2;2;0;5;4;1;13;4;9;4;0;4
04011327;Gete (Ortsteil);2014;113;140;-27;79;104;-25;61;77;-16;43;38;5;2;5;-3;13;14;-1;16;17;-1;3;0;3
0401133;Vahr (Stadtteil);2014;463;343;120;307;209;98;195;150;45;67;36;31;43;28;15;19;15;4;91;89;2;3;2;1
04011331;Gartenstadt Vahr (Ortsteil);2014;137;90;47;104;63;41;52;49;3;14;12;2;9;5;4;4;4;0;19;18;1;1;0;1
04011332;Neue Vahr Nord (Ortsteil);2014;167;118;49;92;69;23;64;47;17;21;11;10;15;6;9;7;4;3;52;39;13;1;0;1
